"GlobalID","n_permit_22"
"{00E579DA-C062-41F6-9318-86653005095A}",6
"{01A63B93-D022-42B0-940F-27A49E45EB73}",3
"{02C31FD1-DC99-42E4-A2D4-CF2503042E98}",1
"{02CE9C69-33AD-48F2-A9DB-99F9BCF475A6}",1
"{041F5F22-D74E-4229-B7B3-5CBA52C33C80}",1
"{04378AE2-508F-4F59-80E9-17A85A42EFFE}",1
"{04CEB6C4-2DAF-4278-B876-D9512D7D9CC0}",1
"{04DE09C5-D176-4264-9DFE-18B51CE5FBF0}",1
"{05193AE3-21EF-454A-A126-819A76CC6C6A}",2
"{099E5897-46CD-460D-B52B-53A028297A28}",1
"{0AF6349F-5BE8-4C1D-AAEB-23056F767229}",1
"{0BFC4203-FB2E-4E82-8D09-AFD3B8644E21}",1
"{0C0BDADF-27DF-435A-B365-6BAE3C0A1EE6}",1
"{0CEE12DD-9D57-4B1E-98BC-0DEC67519742}",2
"{0D0246CF-9278-487A-9538-B9741C1C8E26}",1
"{0D2E0C04-0B3E-4843-B176-D01FE43A80D3}",1
"{0E143C24-4BFA-4FE8-8BE6-4C1DE8087BD1}",1
"{0E62D06D-8ADC-4A4D-A4D4-6657E09E5DA6}",1
"{0FC9729D-4B21-4EF5-9C00-25B2FA2E8B37}",1
"{1009E068-A830-447F-ABB0-4FB8DF176141}",2
"{101156B2-D068-4138-BBAF-66633854195E}",2
"{10D02A02-82D9-4E8F-B232-F5C4E4832ED8}",1
"{12FCBD55-B044-4A6D-8652-C9ED3258889E}",1
"{132DFF8D-3149-46B1-B3EB-E81261E33486}",1
"{13440BAB-5B41-4BE5-A0BE-6A69F6719773}",1
"{13453FDB-1C6D-4EA0-8BF2-212EC5FDD425}",1
"{1350C575-38D1-49FD-8AC4-B591CE0E4080}",1
"{13EE0904-7DD7-4C47-BABC-104A69EA0712}",2
"{141405A6-F995-4DEA-9E22-754767CD8372}",1
"{1482A8EB-00B5-4575-BF3E-31D13E221409}",1
"{15A47C6C-7CCE-43B4-9B90-DC952607EE6D}",2
"{1671A451-1F1C-476A-89CC-363E85D4B34E}",1
"{16FCCA61-1F3E-4634-82D6-1D6E5642EF06}",1
"{18E7A67D-8669-4D65-8EE3-685D4D81A800}",16
"{19F2D63D-EF46-4298-B51D-0D9B0F15DCE7}",1
"{1BF80D1F-5834-4B49-AE9A-6AC6D6610E3E}",3
"{1DC990BA-7258-426F-B121-843D45E13EC6}",2
"{1F0E772D-480B-4BD2-9B35-0E16B46D4FF3}",1
"{1F356BE6-DB08-4339-B726-1E9C51008EFA}",2
"{219CF6F1-1857-44BF-BEDE-E3C7AF0A36EE}",1
"{2564366A-C244-42BB-9D00-556A3E472F11}",1
"{262F34F3-7710-4091-850E-2DC113A994A6}",1
"{26F15C9C-AE55-4DFB-BDA4-5B960530DDCC}",2
"{27F5AF78-7120-4BC1-9229-6DC30D58E637}",2
"{28031280-B564-44C8-8907-40293BE6EFB4}",1
"{28C33FCB-E8A3-4390-8253-ED3611C0469D}",1
"{2A6B2686-131F-4159-A78A-ED92FD56E38B}",1
"{2DCA5E23-589B-4FDF-A49F-3452F9BBD626}",1
"{2EF09FE7-440B-4B69-84B3-545FB033DA18}",1
"{2F8ED2C9-BDE2-448E-89F4-E3F0EA661652}",1
"{2FBABD67-F94D-49BB-A6FF-3D064790AE31}",2
"{30ABF73E-AB3A-495F-BAFA-F41A9FC9E5F1}",2
"{30AE6CF9-C715-4F0D-BDD6-ED857B8E80D7}",1
"{30F1C933-8217-4CCB-B97A-D306F2B99945}",1
"{321B7ACF-AAB6-4540-8F71-8E80AAE59E40}",1
"{33155C71-1CA2-4989-B279-044D583E1CA5}",2
"{34BFAE99-7B47-442D-ABAE-7AF408FE9320}",1
"{3514DF66-B45D-4692-A05D-5295FC55DAE5}",1
"{35F5CC02-890F-41F7-A63D-B59D5605D26E}",4
"{37E0A057-383E-4F24-BAE2-E2EC12C2E8D1}",1
"{396B35FB-B001-478C-87B9-356A87D9302E}",1
"{3C5A4D7E-6EC8-4E69-8C5D-C652C6FE97F6}",1
"{3CDBDCE7-EED4-4114-9276-F42C904FF54A}",1
"{3D045183-5D1A-404A-9A75-03D5882B3D3F}",2
"{3F064548-1CE7-4510-BE7B-D040B179B991}",1
"{40F6CBBF-43E9-4113-9F55-85721C13CDD0}",1
"{436B1AB2-3291-4D01-8587-D73A8FF11D89}",2
"{4628C194-1AAB-4940-B075-CBCAC2D99010}",2
"{473A8CDE-73B9-4B94-AE9D-FBF9AE243752}",5
"{48EF5ADF-9DE8-47CE-AB6A-5FA33A365D25}",1
"{4AC31EC1-CB04-47FF-BDFD-988C56677D9D}",2
"{4ADEBD53-CF4E-444F-ABE2-C71FC4DBBF56}",1
"{4D5C3853-42FE-44D7-877B-62F524D9FEB1}",4
"{4E1709DC-C34E-4ABC-9789-43C727593CB2}",1
"{4E757FA8-2C8C-441F-954A-C16F397D2445}",1
"{4E79C989-1734-4EA2-ABC0-8F5E03A7A601}",2
"{4F82ABCA-F1CA-44CB-B4A9-BEEAA52640E6}",2
"{5004F908-844C-4259-BB31-5432A6FB9C80}",1
"{502CC7D2-0F41-43E4-B58A-C79C0CA3FFB2}",1
"{53194600-C9C4-4244-8568-9D0C1BFC8D68}",1
"{561FB1D5-9956-40B7-9E1E-35FE72117B44}",1
"{5636B0DA-452E-4FC3-8371-A68D77A5C41F}",1
"{5649238E-2C99-496D-863B-928815C3A9B6}",1
"{578E8597-407C-4C8A-8366-B5436C54038E}",1
"{59728447-B43C-4C95-99C9-A4C29B9255BD}",1
"{59DF17FD-54CA-4288-B4EF-2DEAAD53EFB8}",1
"{5A4DE5E9-B7F5-4D28-9655-378B42EC4C36}",2
"{5B450E04-5CAF-43E0-913E-2A4ED7EFDC6D}",1
"{5BBB48E2-E9DB-4FD8-ABA4-0CE4292FFED9}",1
"{5D987AE0-3E87-4E67-A3D6-490A00C06E0D}",2
"{5F511C31-895C-452C-8D5F-CB52ADD88D98}",2
"{60AC37CD-3315-4C09-9B4D-9DED89B9A478}",2
"{6184B0D1-FACD-40CD-BBB8-BD14D8CA7FFA}",1
"{627A9653-7967-4129-BB0B-740185D32DB9}",2
"{62ED3EF7-D2EC-4650-8E5D-43B4C91C9959}",2
"{632F3059-94F6-4A59-B40F-B4E02EC03548}",1
"{6387A77A-0C2A-4239-BAF0-D1079A9820C8}",1
"{639FC2E3-09BA-4269-9692-256CF1B65FAD}",1
"{6445114D-FAE5-484F-A604-928618E3433A}",4
"{64A0FDB6-E8C1-4D8A-BA6D-EED0EC924756}",1
"{652735FD-3D62-435F-AD1F-97737E51CC67}",2
"{65C8C819-571B-4A43-AA29-E8645A11BD89}",1
"{6A4F05BF-8FA1-4F3C-AECB-EF1DED229252}",1
"{6A88B543-EF8C-4C74-BDE8-AB3102B8907C}",1
"{6B16B0FD-E677-4665-BDD3-1FCBFA9BE2B6}",2
"{6BE4D766-A317-43A8-A880-D37C73F4CC2D}",1
"{6C1FF309-0FAB-4CED-A539-DD5FFDF36132}",1
"{6C4116D5-FD6C-45AA-8662-061CCA48A580}",1
"{6D5CC5BB-56E8-4FAA-9E9A-2BBC0A3ABA3A}",1
"{6DAB406C-C53C-4482-9F01-C09597940FA5}",1
"{6E9AE063-7482-48C7-ABF1-D12C9379B792}",2
"{6EAB8E04-C247-4DC1-8740-F23638A70724}",1
"{6FCB1EF6-8F4E-4A9B-A684-0A57AECBA866}",1
"{706F0EC7-0737-4693-9CC5-33FAD38FE392}",1
"{718CCA58-EAA3-4BB0-B63C-B2A083B448A6}",1
"{7418CDA9-82C8-4E48-A45B-49C887199590}",1
"{74B33BEB-479D-47E8-9D60-833DB4F48698}",2
"{75B4237A-95E6-45FB-AEA4-39C53A34E602}",2
"{76ED8458-E705-458C-8D04-23863B2B7DD9}",1
"{7790C3DF-EACF-4FD7-8D27-3E7612FD441B}",1
"{7940C255-3164-45C5-A259-9BAD891CA6C8}",3
"{795F6ECE-7E50-49CA-AFBD-D657696D21D9}",1
"{79CB9DF6-5E19-43AB-B5FE-C1C5F265A8AF}",1
"{7B8DB777-9FCF-49E9-A524-F493B2D45ED7}",2
"{7CDDFC8D-759C-487C-8A34-553CC4854CF5}",1
"{7EFC463E-D3B5-4AC4-94AD-4F1AA35E8198}",1
"{8046003B-3078-4D14-8DBA-6A64F7A61008}",1
"{8160BA8C-7799-4CF5-ACAA-8D8CEE75FACA}",1
"{820B3FA6-8FBE-476E-857A-0FEC4559F82F}",3
