Project,Task,Start,End
Qualitative Research,Boone 2030 Plan,1/22/2024,2/9/2024
Qualitative Research,Development Ordinances,1/22/2024,2/9/2024
Qualitative Research,"""Workforce"" Housing Programs",1/22/2024,2/9/2024
Qualitative Research,Demographics,1/22/2024,2/9/2024
Qualitative Research,Surrounding Context,1/22/2024,2/9/2024
Data Wrangling,Septic Permits Scraping,2/5/2024,2/16/2024
Data Wrangling,Existing Data,2/5/2024,2/16/2024
Data Wrangling,Other Open Data,1/22/2024,2/9/2024
Exploratory Analysis,Socio-economic Change,1/22/2024,2/9/2024
Exploratory Analysis,Septic Permits Change,2/12/2024,3/1/2024
Exploratory Analysis,Variable Association,2/19/2024,2/23/2024
Exploratory Analysis,Sold Properties Characteristics,2/5/2024,2/16/2024
Exploratory Analysis,Story of Affordability,1/22/2024,2/9/2024
Project Management Plan,Writing,1/22/2024,2/2/2024
Project Management Plan,Markdown,1/22/2024,2/2/2024
Modeling,Variable Selection,2/19/2024,2/23/2024
Modeling,Model Training,3/11/2024,3/29/2024
Modeling,Optimization,3/11/2024,3/29/2024
Modeling,Validation,3/11/2024,3/29/2024
1st Presentation + MD,Markdown,2/19/2024,3/1/2024
1st Presentation + MD,Slides,2/19/2024,3/1/2024
1st Presentation + MD,Repo Management,2/19/2024,3/1/2024
2nd Presentation + MD,Markdown,3/25/2024,4/12/2024
2nd Presentation + MD,Slides,3/25/2024,4/12/2024
2nd Presentation + MD,Repo Management,3/25/2024,4/12/2024
Final Deliverable,Project Management Plan,1/22/2024,5/10/2024
Final Deliverable,Markdown,3/18/2024,4/26/2024
Final Deliverable,Writing,3/18/2024,4/26/2024
Final Deliverable,Presentation Slides,4/8/2024,4/26/2024
App Development,Design+Wireframe,2/19/2024,3/15/2024
App Development,Development,3/11/2024,4/5/2024
App Development,Testing,4/8/2024,4/19/2024
App Development,Deployment+Feedback,4/22/2024,5/3/2024
